filename,start_date,end_date,date_diff
46000642.nc,2017-01-01,2022-12-31,2190
47000001.nc,2001-01-01,2022-12-31,8034
47000032.nc,2001-01-01,2006-10-24,2122
47000036.nc,2001-01-01,2022-12-31,8034
47000037.nc,2001-01-01,2022-12-31,8034
47000060.nc,2013-01-01,2017-01-01,1461
47000061.nc,2013-01-01,2017-01-01,1461
47000092.nc,2017-01-01,2022-12-31,2190
47000422.nc,2015-12-12,2017-01-20,405
47000429.nc,2015-11-18,2017-01-01,410
47000659.nc,2017-01-01,2022-12-31,2190
47001025.nc,2015-12-05,2017-01-02,394
47001065.nc,2017-01-01,2022-12-31,2190
47001141.nc,2018-01-01,2022-12-31,1825
48000004.nc,2001-01-01,2022-12-31,8034
48000006.nc,2008-01-01,2022-12-31,5478
48000007.nc,2001-01-01,2022-12-31,8034
48000010.nc,2001-01-01,2022-12-31,8034
48000011.nc,2001-01-01,2022-12-31,8034
48000115.nc,2001-01-01,2012-12-31,4382
48000317.nc,2016-01-01,2016-12-31,365
49000054.nc,2001-01-01,2022-12-31,8034
49000057.nc,2001-01-01,2022-01-01,7670
49000061.nc,2001-01-01,2022-12-31,8034
49000066.nc,2001-01-01,2022-12-31,8034
49000090.nc,2015-01-01,2016-01-02,366
49000092.nc,2001-01-01,2016-01-05,5482
49000094.nc,2001-01-01,2022-12-31,8034
49000146.nc,2011-01-01,2021-01-20,3672
49000227.nc,2001-01-01,2012-12-31,4382
5000003.nc,2001-01-01,2022-12-31,8034
50000045.nc,2001-01-01,2022-12-31,8034
50000046.nc,2001-01-01,2018-12-31,6573
50000048.nc,2001-01-01,2022-12-31,8034
50000051.nc,2001-01-01,2022-12-31,8034
50000055.nc,2001-01-01,2018-12-31,6573
50000056.nc,2001-01-01,2022-12-31,8034
50000057.nc,2001-01-01,2022-12-31,8034
50000058.nc,2001-01-01,2022-12-31,8034
5000078.nc,2014-04-26,2020-12-31,2441
51000001.nc,2001-01-01,2022-12-31,8034
51000002.nc,2001-01-01,2022-12-31,8034
51000024.nc,2001-01-01,2022-12-31,8034
51000026.nc,2001-01-01,2022-12-31,8034
51000245.nc,2016-12-21,2022-12-31,2201
51000261.nc,2016-12-21,2022-12-31,2201
52000020.nc,2001-01-01,2022-12-31,8034
52000025.nc,2001-01-01,2022-12-31,8034
52000029.nc,2001-01-01,2022-12-31,8034
52000033.nc,2001-01-01,2022-12-31,8034
52000039.nc,2001-01-01,2022-12-31,8034
52000040.nc,2017-01-01,2022-12-31,2190
52000063.nc,2001-01-01,2022-12-31,8034
52000064.nc,2001-01-01,2017-12-31,6208
52000067.nc,2018-01-01,2019-01-02,366
52000068.nc,2001-01-01,2022-12-31,8034
52000198.nc,2001-01-01,2022-12-31,8034
52000199.nc,2001-01-01,2022-12-31,8034
52000425.nc,2011-01-01,2020-12-31,3652
52000870.nc,2001-01-01,2014-01-02,4749
52000935.nc,2015-12-17,2017-05-31,531
52001041.nc,2016-12-02,2022-12-31,2220
53000010.nc,2001-01-01,2022-12-31,8034
53000011.nc,2001-01-01,2022-12-31,8034
53000028.nc,2001-01-01,2022-12-31,8034
53000029.nc,2001-01-01,2018-12-31,6573
53000235.nc,2001-01-01,2013-01-01,4383
53000618.nc,2016-12-22,2022-12-31,2200
54000002.nc,2001-01-01,2022-12-31,8034
54000009.nc,2016-12-19,2022-12-31,2203
54000111.nc,2018-01-01,2020-12-31,1095
54000184.nc,2016-12-20,2022-12-31,2202
55000015.nc,2001-01-01,2021-12-31,7669
55000017.nc,2001-01-01,2022-12-31,8034
55000018.nc,2001-01-01,2022-12-31,8034
55000051.nc,2007-07-11,2022-12-31,5652
55000444.nc,2016-01-01,2017-02-05,401
55000445.nc,2016-01-01,2017-02-05,401
56000001.nc,2001-01-01,2022-12-31,8034
56000002.nc,2001-01-01,2022-12-31,8034
56000003.nc,2001-01-01,2022-12-31,8034
56000005.nc,2001-01-01,2022-12-31,8034
56000006.nc,2001-01-01,2022-12-31,8034
56000007.nc,2001-01-01,2022-12-31,8034
56000070.nc,2016-01-01,2016-12-31,365
56000071.nc,2016-01-01,2016-12-31,365
56000073.nc,2016-01-01,2016-12-31,365
57000044.nc,2005-01-01,2022-12-31,6573
57000048.nc,2016-12-20,2022-12-31,2202
57000049.nc,2001-01-01,2022-12-31,8034
57000050.nc,2001-01-01,2022-12-31,8034
57000052.nc,2001-01-01,2022-12-31,8034
57000053.nc,2001-01-01,2022-12-31,8034
57000055.nc,2001-01-01,2022-12-31,8034
57000057.nc,2001-01-01,2018-01-01,6209
57000058.nc,2001-01-01,2022-12-31,8034
57000059.nc,2017-01-01,2022-12-31,2190
57000063.nc,2005-01-01,2022-12-31,6573
57000073.nc,2018-01-01,2019-01-01,365
57000085.nc,2016-12-21,2022-12-31,2201
57000121.nc,2017-01-01,2022-12-31,2190
57000178.nc,2011-01-01,2020-02-01,3318
57000494.nc,2014-01-01,2015-01-01,365
57000643.nc,2019-01-01,2021-12-31,1095
57001002.nc,2014-01-01,2018-02-01,1492
57001206.nc,2018-01-01,2019-01-01,365
58000019.nc,2001-01-01,2022-12-31,8034
58000047.nc,2001-01-01,2022-12-31,8034
59000005.nc,2001-01-01,2022-12-31,8034
59000006.nc,2001-01-01,2022-12-31,8034
6000001.nc,2001-01-01,2022-12-31,8034
60000027.nc,2001-01-01,2022-12-31,8034
60000029.nc,2001-01-01,2022-12-31,8034
60000031.nc,2001-01-01,2022-12-31,8034
60000035.nc,2001-01-01,2022-12-31,8034
60000036.nc,2001-01-01,2022-12-31,8034
60000037.nc,2001-01-01,2022-12-31,8034
60000212.nc,2018-01-01,2022-12-31,1825
60000650.nc,2018-01-01,2021-12-31,1460
6000306.nc,2016-12-22,2021-12-31,1835
6000427.nc,2016-12-20,2022-12-31,2202
6000428.nc,2018-01-01,2021-02-07,1133
61000011.nc,2001-01-01,2022-12-31,8034
61000012.nc,2001-01-01,2022-12-31,8034
61000013.nc,2001-01-01,2022-12-31,8034
61000094.nc,2018-05-03,2022-12-31,1703
61000399.nc,2020-12-23,2022-12-31,738
61000441.nc,2020-08-12,2022-12-31,871
62000012.nc,2001-01-01,2022-12-31,8034
62000014.nc,2001-01-01,2022-12-31,8034
62000015.nc,2001-01-01,2022-12-31,8034
62000017.nc,2001-01-01,2021-12-31,7669
62000022.nc,2001-01-01,2022-12-31,8034
63000007.nc,2001-01-01,2022-12-31,8034
64000025.nc,2001-01-01,2022-12-31,8034
64000033.nc,2001-01-01,2011-12-31,4016
66000014.nc,2001-01-01,2022-12-31,8034
66000034.nc,2011-01-01,2022-12-31,4382
67000017.nc,2001-01-01,2022-12-31,8034
67000018.nc,2001-01-01,2021-12-31,7669
67000019.nc,2001-01-01,2022-12-31,8034
67000030.nc,2014-01-01,2022-01-01,2922
7000003.nc,2001-01-01,2022-12-31,8034
7000099.nc,2016-12-22,2018-12-31,739
7000333.nc,2016-12-22,2022-12-31,2200
8000001.nc,2001-01-01,2022-12-31,8034
9000001.nc,2001-01-01,2019-12-31,6938
9000015.nc,2001-01-01,2022-12-31,8034
9000172.nc,2016-12-16,2022-12-31,2206
9000173.nc,2017-07-06,2021-12-31,1639
9000293.nc,2016-12-14,2022-12-31,2208
9000451.nc,2016-12-15,2022-12-31,2207
9001110.nc,2015-01-01,2015-12-31,364
