Id15_v30,hypeid,obsstednr
16510692,679,40000001.0
16510700,680,
16510723,681,42001011.0
16510744,682,40000165.0
16510745,683,
16510765,684,
16510774,685,
16510815,686,42000022.0
16510816,687,42000017.0
16510817,688,
16510818,689,
16510819,690,42000019.0
16510833,691,
16510864,692,42000125.0
16510865,693,42000124.0
16510874,694,
16510877,695,
16510886,696,
16510888,697,
16510890,698,
16510901,699,
16510925,700,
16510944,701,
16510965,702,
16510970,703,
16510988,704,42000020.0
16511168,705,
16511407,706,
16511478,707,
16511489,708,
16511768,709,42000014.0
16511864,710,
16512589,711,
21000001,712,
21100001,713,
21100002,714,
21100003,715,
21100004,716,
21100005,717,
21100009,718,
21100017,719,
21100022,720,
21100055,721,
21100411,722,3000002.0
21100423,723,
21100444,724,
21100456,725,
21100466,726,
21100467,727,
21100488,728,
21100498,729,
21100608,730,3000003.0
21100619,731,
21100655,732,
21100672,733,
21100678,734,
21100688,735,
21100867,736,
22000001,737,
22130001,738,
22130002,739,
22130003,740,1000102.0
22130004,741,
22130005,742,
22130007,743,
22130011,744,
22130017,745,
22130023,746,1000315.0
22130092,747,
22130418,748,4000005.0
22130489,749,
22130544,750,
22130579,751,
22130618,752,4000002.0
22130629,753,
22130634,754,
22130644,755,
22130655,756,
22130657,757,
22130659,758,
22130663,759,
22130667,760,
22130678,761,
22130693,762,
22130753,763,
22130757,764,
22160001,765,
22160002,766,
22160003,767,
22160004,768,
22160005,769,
22160017,770,
23100001,771,
23100017,772,
23100037,773,
23100048,774,
23100085,775,
30110001,776,
30110002,777,
30110003,778,
30120001,779,
30120017,780,
30130001,781,
30200001,782,
31020020,783,
31100001,784,
31100002,785,
31100017,786,
31100059,787,
31100111,788,
31100495,789,
31100765,790,48000007.0
31100995,791,
32100001,792,
32110020,793,
32130001,794,
32130002,795,
32130003,796,
32150020,797,
32160001,798,
32160002,799,
32160003,800,
32160004,801,51000001.0
32160005,802,
32160006,803,
32160008,804,
32160017,805,
32160023,806,
32160026,807,
32160031,808,
32160051,809,
32160088,810,
32160117,811,
32160225,812,
32160300,813,
32160357,814,
32160584,815,
32170001,816,
32180001,817,
32180002,818,
32180003,819,
32180017,820,
32180021,821,
32180055,822,
32180060,823,
32190001,824,
32190003,825,
32210001,826,
32210002,827,
32210017,828,
32210022,829,
32210417,830,49000054.0
32210488,831,49000057.0
32210754,832,
32210756,833,49000061.0
32211117,834,49000094.0
32211118,835,49000092.0
32211120,836,
32211121,837,
32211251,838,49000090.0
32211253,839,
32211325,840,
32211326,841,
32211328,842,49000066.0
32211363,843,
32211364,844,
32211365,845,
32211366,846,
32211869,847,
32211888,848,
32211889,849,
32212458,850,49000146.0
32218363,851,49000227.0
32220001,852,
32220002,853,
32220011,854,
32220024,855,
32220111,856,52000198.0
32220123,857,52000029.0
32220234,858,
32220443,859,
32220451,860,
32220519,861,52000025.0
32220666,862,
32220921,863,
32221021,864,
32221111,865,
32230001,866,
32230002,867,
32230003,868,
32230005,869,
32230012,870,
32230023,871,52000040.0
32230033,872,
32230063,873,
32230086,874,52001041.0
32230087,875,
32230187,876,52000935.0
32230400,877,
32230439,878,52000039.0
32230499,879,
32230565,880,52000033.0
32230635,881,
32230699,882,
32230800,883,
32230874,884,
32230879,885,
32230886,886,
32230941,887,
32230982,888,
32231197,889,
32231198,890,
32235635,891,
32240020,892,
32240024,893,
32240027,894,
32240033,895,
